ID	MS	Mp	VFN	Mh	Man	MMS	TAN	T	Va	Ve	Mk	Cn	Ct	Cr	m (kg)	ID	Mt	Enedc (g/km)	Ewltp (g/km)	W (mm)	At1 (mm)	At2 (mm)	Ft	Fm	ec (cm3)	ep (KW)	z (Wh/km)	It	Ernedc (g/km)	Erwltp (g/km)	De	Vf	r
9341158	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2007/46*0243*23	5E	ACDDYAX0	NFM5FM5A4051STVLN627	SKODA	OCTAVIA	M1	M1	1327	9341158		109		1540	2667	1549	DIESEL	M	1598	85							1
15080622	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0319*00	5J	ACCHZBX01	NFM5FM5DF002N617	ÂŠKODA	FABIA	M1	M1	1134	15080622		101		1441	2455	1441	Petrol	M	999	70							1
12394747	NL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S.	e8*2007/46*0318*00	5E	ACDDYAX0	NFD7FD7CW002STVLN617	SKODA	OCTAVIA	M1		1342	12394747		103		1520	2670	1530	DIESEL	M	1598	85							1
9405423	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0272*03	NU	ACDADAX0	NFD7FD7CW0025628	SKODA	KAROQ	M1	M1	1393	9405423		127		1541	2624	1576	PETROL	M	1498	110		e8 19	1				1
9297357	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2007/46*0250*18	NH	ABCHZC	NFM6FM6DQ002STN762SK	SKODA	RAPID	M1	M1	1185	9297357		106		1500	2590	1463	PETROL	M	999	81							1
8550240	SI	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0318*00	5E	ACCHHAX0	RFD6FD6D9011V2MLN647	SKODA	OCTAVIA / COMBI 2.0 / TSI AUT.	M1	M1	1462	8550240		149		1544	2677	1535	Petrol	M	1984	169							1
5411861	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e13*2007/46*1169*13	AA	ABCHYA	FS5FS5CT0087MMVR0N1SSK61	SKODA	CITIGO SE MPI S-A	M1	M1	937	5411861		100		1408	2407	1412	Petrol	M	999								1
9438226	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0249*05	NS	ACDFGAX1	NAD7AD7DL0030GS5S617	SKODA	KODIAQ	M1G	M1G	1740	9438226		149		1576	2788	1586	DIESEL	M	1968	110							1
12029130	RO	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0249*06	NS	ACDFHAX1	NAD7AD7DL0030GS5S617	SKODA	KODIAQ	M1G	M1G	1752	12029130		150		1566	2788	1576	Diesel	M	1968	140							1
9455301	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0249*04	NS	ACDFHAX1	NAD7AD7DL0030GS5S617	SKODA	KODIAQ	M1G	M1G	1752	9455301		150		1576	2788	1586	DIESEL	M	1968	140							1
